channel_name,subscribers,total_views,total_videos,published_at,description,label
ABC News,19200000,17432292543,107071,2006-08-07T23:12:21Z,"ABC News is your daily source for breaking national and world news, exclusive interviews and 24/7 live streaming coverage that will help you stay up to date on the events shaping our world. https://ab",ABC News
CNN,18900000,19329712222,177610,2005-10-02T16:06:36Z,"CNN is the world leader in news and information and seeks to inform, engage and empower the world. Staffed 24 hours, seven days a week by a dedicated team in CNN bureaus around the world, CNN delivers",CNN
Fox News,14600000,22919029481,129602,2006-09-19T01:48:52Z,FOX News Channel (FNC) is a 24-hour all-encompassing news service dedicated to delivering breaking news as well as political and business news. A top cable network in both total viewers and Adults 25-,Fox News
NBC News,11600000,9335163687,87241,2006-07-19T20:46:03Z,"Every day, NBC News helps people understand what’s happening and why it matters — through fact-based reporting, meaningful conversations, and powerful stories. From its leading news broadcasts — TODAY",NBC News
CBS News,6830000,6154549509,144808,2006-09-27T13:38:41Z,"CBS News is a trusted source for the latest in politics, U.S. and world news. The network is home to award-winning broadcasts CBS Mornings, CBS Evening News, 60 Minutes, CBS Sunday Morning, 48 Hours a",CBS News
Rebel HQ,1430000,1279930043,17070,2015-09-04T20:35:00Z,"Rebel HQ amplifies some of the most dynamic voices of the progressive movement, with over 20 contributors taking on the important and impactful news stories daily. ",The Young Turks
USA TODAY,7430000,4987636136,29216,2006-03-20T16:16:43Z,"From heartwarming moments to the latest in sports, entertainment, and politics, our journalists are dedicated to bringing clarity to the news of the day with unique visual storytelling.
",USA Today
The Wall Street Journal,6480000,2412717098,28373,2007-06-18T18:06:47Z,The Wall Street Journal takes you inside carefully selected stories and events in a visually captivating way so you can dig deeper into the news and insights that matter to you. ,The Wall Street Journal
The New York Times,4900000,1312036507,10262,2006-10-13T21:57:36Z,"The New York Times is the most powerful engine for independent, boots-on-the-ground and deeply reported journalism. We set the standard for the most ambitious and innovative storytelling across featur",The New York Times
